modname:nice

texture:id=txt0001,filename=assets/nice/textures/blocks/buis_lime.png,xcount=1,ycount=1
block:id=%smallcylinder,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%smallcylinder,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%smallcylinder,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%smallcylinder,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%smallcylinder,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%smallcylinder,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%solid,data=0,patch0=0:txt0001,patch1=0:txt0001,patch2=0:txt0001,patch3=0:txt0001,patch4=0:txt0001,patch5=0:txt0001,stdrot=true
block:id=%solidcylinder,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%solidcylinder,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%solidcylinder,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%solidcylinder,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%solidcylinder,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%solidcylinder,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%solidsmallcylinder,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%solidsmallcylinder,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%solidsmallcylinder,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%solidsmallcylinder,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%solidsmallcylinder,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%solidsmallcylinder,data=2,transparency=TRANSPARENT,stdrot=true
block:id=%cylinder,data=4,transparency=TRANSPARENT,stdrot=true
block:id=%cylinder,data=1,transparency=TRANSPARENT,stdrot=true
block:id=%cylinder,data=3,transparency=TRANSPARENT,stdrot=true
block:id=%cylinder,data=5,transparency=TRANSPARENT,stdrot=true
block:id=%cylinder,data=0,transparency=TRANSPARENT,stdrot=true
block:id=%cylinder,data=2,transparency=TRANSPARENT,stdrot=true
