modname:rftoolsstorage

texture:id=machinecraftingmanager,filename=assets/rftoolsstorage/textures/block/machinecraftingmanager.png,xcount=1,ycount=1
texture:id=machinebottom,filename=assets/rftoolsbase/textures/block/base/machinebottom.png,xcount=1,ycount=1
texture:id=machinecraftingmanager_top,filename=assets/rftoolsstorage/textures/block/machinecraftingmanager_top.png,xcount=1,ycount=1
texture:id=machinemodularstorage,filename=assets/rftoolsstorage/textures/block/machinemodularstorage.png,xcount=1,ycount=1
texture:id=machinetop,filename=assets/rftoolsbase/textures/block/base/machinetop.png,xcount=1,ycount=1
texture:id=machineside,filename=assets/rftoolsbase/textures/block/base/machineside.png,xcount=1,ycount=1
texture:id=overlaynone,filename=assets/rftoolsstorage/textures/block/overlaynone.png,xcount=1,ycount=1
texture:id=overlaygeneric,filename=assets/rftoolsstorage/textures/block/overlaygeneric.png,xcount=1,ycount=1
texture:id=overlayore,filename=assets/rftoolsstorage/textures/block/overlayore.png,xcount=1,ycount=1
texture:id=overlayamount,filename=assets/rftoolsstorage/textures/block/overlayamount.png,xcount=1,ycount=1
texture:id=overlayamountremote,filename=assets/rftoolsstorage/textures/block/overlayamountremote.png,xcount=1,ycount=1
texture:id=machinestoragescanner,filename=assets/rftoolsstorage/textures/block/machinestoragescanner.png,xcount=1,ycount=1
block:id=%crafting_manager,patch0=0:machinecraftingmanager,patch1=0:machinebottom,patch2=0:machinecraftingmanager_top,transparency=SEMITRANSPARENT,stdrot=true
block:id=%modular_storage,state=facing:north/amount:none/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,stdrot=true
block:id=%modular_storage,state=facing:north/amount:none/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,stdrot=true
block:id=%modular_storage,state=facing:north/amount:none/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,stdrot=true
block:id=%modular_storage,state=facing:east/amount:none/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,stdrot=true
block:id=%modular_storage,state=facing:east/amount:none/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,stdrot=true
block:id=%modular_storage,state=facing:east/amount:none/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,stdrot=true
block:id=%modular_storage,state=facing:south/amount:none/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,stdrot=true
block:id=%modular_storage,state=facing:south/amount:none/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,stdrot=true
block:id=%modular_storage,state=facing:south/amount:none/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,stdrot=true
block:id=%modular_storage,state=facing:west/amount:none/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,stdrot=true
block:id=%modular_storage,state=facing:west/amount:none/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,stdrot=true
block:id=%modular_storage,state=facing:west/amount:none/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,stdrot=true
block:id=%modular_storage,state=facing:up/amount:none/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,stdrot=true
block:id=%modular_storage,state=facing:up/amount:none/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,stdrot=true
block:id=%modular_storage,state=facing:up/amount:none/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,stdrot=true
block:id=%modular_storage,state=facing:down/amount:none/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,stdrot=true
block:id=%modular_storage,state=facing:down/amount:none/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,stdrot=true
block:id=%modular_storage,state=facing:down/amount:none/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,stdrot=true
block:id=%modular_storage,state=facing:north/amount:empty/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:north/amount:empty/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:north/amount:empty/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:east/amount:empty/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:east/amount:empty/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:east/amount:empty/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:south/amount:empty/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:south/amount:empty/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:south/amount:empty/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:west/amount:empty/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:west/amount:empty/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:west/amount:empty/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:up/amount:empty/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:up/amount:empty/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:up/amount:empty/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:down/amount:empty/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:down/amount:empty/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:down/amount:empty/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:north/amount:g0/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:north/amount:g0/type:generic,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaygeneric,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:north/amount:g0/type:ore,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlayore,patch5=0:overlayamount,stdrot=true
block:id=%modular_storage,state=facing:east/amount:g0/type:none,patch0=0:machinemodularstorage,patch1=0:machinebottom,patch2=0:machinetop,patch3=0:machineside,patch4=0:overlaynone,patch5=0:overlayamount,stdrot=true
